"date","year","mo","casos","t_max","t_med","t_min","hr","precip","oni","enso_state"
2021-07-01,2021,7,NA,30.9203225806452,28.4606451612903,26.2109677419355,80.4754838709677,136.34,-0.35,"Neutral"
2021-08-01,2021,8,NA,31.5358064516129,28.7835483870968,26.43,79.0729032258065,107.07,-0.45,"Neutral"
2021-09-01,2021,9,NA,30.8586666666667,28.394,26.235,80.5303333333333,145.99,-0.63,"Niña"
2021-10-01,2021,10,NA,31.091935483871,28.3216129032258,26.0729032258065,76.1454838709677,84.35,-0.76,"Niña"
2021-11-01,2021,11,NA,28.6146666666667,25.4656666666667,22.8193333333333,73.9476666666667,26.4,-0.91,"Niña"
2021-12-01,2021,12,NA,29.6048387096774,26.0551612903226,22.8690322580645,72.8690322580645,31.74,-0.87,"Niña"
2022-01-01,2022,1,NA,27.1141935483871,23.8796774193548,21.1732258064516,75.9716129032258,64.48,-0.82,"Niña"
2022-02-01,2022,2,NA,28.2114285714286,24.6007142857143,21.475,75.6132142857143,49.68,-0.79,"Niña"
2022-03-01,2022,3,NA,30.3838709677419,26.5470967741935,23.0477419354839,69.9574193548387,48.26,-0.86,"Niña"
2022-04-01,2022,4,NA,32.833,28.733,25.1266666666667,65.3093333333333,35.81,-0.95,"Niña"
2022-05-01,2022,5,NA,33.2406451612903,29.5503225806452,26.2403225806452,67.1087096774194,106.84,-0.9,"Niña"
2022-06-01,2022,6,NA,30.3056666666667,27.8773333333333,25.7333333333333,81.4443333333333,270.51,-0.78,"Niña"
2022-07-01,2022,7,NA,30.9329032258065,28.3867741935484,26.1222580645161,79.7864516129032,107.47,-0.76,"Niña"
2022-08-01,2022,8,NA,30.4945161290323,28.1851612903226,26.2106451612903,82.5970967741935,204.65,-0.87,"Niña"
2022-09-01,2022,9,NA,29.2073333333333,27.54,26.07,84.7953333333333,255.08,-0.97,"Niña"
2022-10-01,2022,10,NA,29.0587096774194,26.7641935483871,24.6506451612903,80.0106451612903,58.06,-0.94,"Niña"
2022-11-01,2022,11,NA,29.6056666666667,26.839,24.4476666666667,78.884,81.66,-0.85,"Niña"
2022-12-01,2022,12,NA,28.5258064516129,25.45,22.7570967741935,77.8612903225806,77.44,-0.71,"Niña"
